source,item,created,modified,accessed,confidence
Mounted Evidence,I:\Program Files\Box\Box Sync\cacert.pem,2012-01-30 16:09:24,2012-01-30 16:09:24,2018-03-29 21:23:17,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\dev_32.vp,2015-06-05 04:11:10,2015-06-05 04:11:10,2015-06-05 04:11:10,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\he_32.vp,2015-06-05 04:11:10,2015-06-05 04:11:10,2015-06-05 04:11:10,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mj_64.vp,2015-06-05 04:11:10,2015-06-05 04:11:10,2015-06-05 04:11:10,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mj_32.vp,2015-06-05 04:11:12,2015-06-05 04:11:12,2015-06-05 04:11:12,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\cpa_32.vp,2015-06-05 04:11:18,2015-06-05 04:11:18,2015-06-05 04:11:18,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\cpa_64.vp,2015-06-05 04:11:18,2015-06-05 04:11:18,2015-06-05 04:11:18,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\c_32.cpa,2015-06-05 04:11:18,2015-06-05 04:11:18,2015-06-05 04:11:18,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\c_64.cpa,2015-06-05 04:11:18,2015-06-05 04:11:18,2015-06-05 04:11:18,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\dev_64.vp,2015-06-05 04:11:18,2015-06-05 04:11:18,2015-06-05 04:11:18,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\he_64.vp,2015-06-05 04:11:18,2015-06-05 04:11:18,2015-06-05 04:11:18,High
Mounted Evidence,I:\Program Files\DellTPad\ApTaskLink.xml,2015-06-25 09:48:24,2015-06-25 09:48:24,2015-06-25 09:48:24,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\CirScrD.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\CirScrL.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\CirScrR.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\CirScrU.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\InrScr.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\InrScrH.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\InrScrV.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\PadScr.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\PadScrH.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\PadScrV.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\Rotation.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\StkScr.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\StkScrH.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\StkScrV.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\Data\Cur\Zoom.cur,2015-06-25 09:48:30,2015-06-25 09:48:30,2015-06-25 09:48:30,High
Mounted Evidence,I:\Program Files\DellTPad\ApInfo.dll,2015-06-25 09:56:02,2015-06-25 09:56:02,2015-06-25 09:56:02,High
Mounted Evidence,I:\Program Files\DellTPad\ApInst.dll,2015-06-25 09:56:02,2015-06-25 09:56:02,2015-06-25 09:56:02,High
Mounted Evidence,I:\Program Files\DellTPad\ApMouCpl.dll,2015-06-25 09:56:02,2015-06-25 09:56:02,2015-06-25 09:56:02,High
Mounted Evidence,I:\Program Files\DellTPad\ApMsgFwd.exe,2015-06-25 09:56:02,2015-06-25 09:56:02,2015-06-25 09:56:02,High
Mounted Evidence,I:\Program Files\DellTPad\ApntEx.exe,2015-06-25 09:56:02,2015-06-25 09:56:02,2015-06-25 09:56:02,High
Mounted Evidence,I:\Program Files\DellTPad\Apoint.dll,2015-06-25 09:56:02,2015-06-25 09:56:02,2015-06-25 09:56:02,High
